"fname","lname","week","yr","actual","rating","home","pts_1y","xpa_1y","xpm_1y","fga_1y","fgm_1y","gt50_1y","pts_2y","xpa_2y","xpm_2y","fga_2y","fgm_2y","gt50_2y","xpa_1wk","xpm_1wk","fga_1wk","fgm_1wk","gt50_1wk","xpa_2wk","xpm_2wk","fga_2wk","fgm_2wk","gt50_2wk"
" Shaun"," Suisham","4","2014","6","14","1","129","39","39","32","30","0","120","34","34","31","28","1","4","4","3","3","0","4","4","3","3","0"
" Justin"," Tucker","4","2014","8","19","1","152","26","26","41","38","6","140","42","42","33","30","4","2","2","3","3","0","2","2","3","3","0"
" Adam"," Vinatieri","4","2014","11","17","1","147","34","34","40","35","4","123","37","37","33","26","4","5","5","3","3","0","5","5","3","3","0"
" Blair"," Walsh","4","2014","17","14","1","125","44","43","30","26","2","161","36","36","38","35","10","0","0","3","3","0","0","0","3","3","0"
" Dan"," Bailey","5","2014","8","2","1","143","47","47","30","28","6","130","37","37","31","29","3","5","5","1","1","1","5","5","1","1","1"
" Josh"," Brown","5","2014","14","15","1","102","31","31","26","23","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","6","6","1","1","0","6","6","1","1","0"
" Matt"," Bryant","5","2014","8","14","0","117","39","39","27","24","3","151","44","44","38","33","4","4","4","0","0","0","4","4","0","0","0"
" Randy"," Bullock","5","2014","5","13","0","106","26","26","35","26","1","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","2","2","3","3","2","2","2","3","3","2"
" Dan"," Carpenter","5","2014","11","6","0","139","32","32","36","33","4","96","26","26","27","22","2","2","2","1","1","0","2","2","1","1","0"
" Mason"," Crosby","5","2014","6","15","1","151","42","42","37","33","5","117","50","50","33","21","2","5","5","2","1","1","5","5","2","1","1"
" Phil"," Dawson","5","2014","20","15","1","148","44","44","36","32","4","130","29","29","31","29","7","2","2","4","4","1","2","2","4","4","1"
" Kai"," Forbath","5","2014","5","20","1","82","26","26","22","18","1","86","34","33","18","17","1","2","2","0","0","0","2","2","0","0","0"
" Graham"," Gano","5","2014","7","9","1","126","42","42","27","24","6","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","1","1","1","1","0","1","1","1","1","0"
" Stephen"," Gostkowski","5","2014","19","15","1","168","44","44","41","38","5","157","66","66","35","29","2","2","2","0","0","0","2","2","0","0","0"
" Robbie"," Gould","5","2014","6","11","0","129","46","45","29","26","3","100","33","33","25","21","2","2","2","1","1","0","2","2","1","1","0"
" Shayne"," Graham","5","2014","11","13","1","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","146","45","45","38","31","4","2","2","2","1","0","2","2","2","1","0"
" Patrick"," Murray","5","2014","9","23","0","119.3152594887684","37.33307513555383","36.23470178156468","29.89000774593339","25.66924864446166","3.036405886909372","122.8476527900797","37.74933569530558","37.22054915854739","30.71124889282551","26.348095659876","3.29140832595217","3","3","2","2","1","3","3","2","2","1"
" Nick"," Novak","5","2014","7","17","1","148","42","42","37","34","2","91","33","33","20","18","2","3","3","4","4","0","3","3","4","4","0"
