"fname","lname","week","yr","actual","rating","home","pts_1y","rerec_1y","reyds_1y","retd_1y","pts_2y","rerec_2y","reyds_2y","retd_2y","pts_1wk","rerec_1wk","reyds_1wk","retd_1wk","pts_2wk","rerec_2wk","reyds_2wk","retd_2wk"
" John"," Carlson","11","2014","3","7","1","33","32","344","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","2","33","0","7","2","19","1"
" Larry"," Donnell","11","2014","11","10","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","4","26","0","8","4","25","1"
" Mychal"," Rivera","11","2014","4","20","0","61","38","407","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","12","6","64","1","15","8","38","2"
" Travis"," Kelce","11","2014","2","17","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","2","19","0","12","4","67","1"
" Zach"," Ertz","11","2014","5","4","0","64","36","469","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","17","0","0","1","4","0"
" Andrew"," Quarless","12","2014","5","12","0","37","32","312","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","2","35","0","7","2","10","1"
" Austin"," Seferian-Jenkins","12","2014","1","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","7","0","9","5","30","1"
" Brent"," Celek","12","2014","4","21","1","76","32","502","6","66","57","684","1","1","1","11","0","11","5","116","0"
" Cooper"," Helfet","12","2014","8","5","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","0","1","2","0","3","1","32","0"
" Gary"," Barnidge","12","2014","2","17","0","20","13","127","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","11","0","4","2","46","0"
" Jared"," Cook","12","2014","2","16","0","89","51","671","5","69","44","523","4","1","3","19","0","14","2","84","1"
" Jermaine"," Gresham","12","2014","3","4","0","61","46","458","4","95","64","737","5","13","2","13","2","2","3","29","0"
" Jimmy"," Graham","12","2014","16","8","1","211","86","1215","16","144","85","982","9","2","3","29","0","19","10","76","2"
" John"," Carlson","12","2014","2","14","0","33","32","344","1","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","3","3","37","0","3","2","33","0"
" Lance"," Kendricks","12","2014","1","16","0","44","32","258","4","70","42","519","4","0","2","5","0","3","2","30","0"
" Larry"," Donnell","12","2014","2","16","1","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","11","3","54","1","2","4","26","0"
" Martellus"," Bennett","12","2014","3","16","1","97","65","759","5","86","55","626","5","2","4","29","0","4","2","45","0"
" Richard"," Rodgers","12","2014","6","12","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","1","1","19","0","0","2","6","0"
" Travis"," Kelce","12","2014","6","27","0","74.3859126984127","48.3898809523809","553.253968253968","4.15575396825396","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","2","3","37","0","1","2","19","0"
" Vernon"," Davis","12","2014","2","23","1","157","52","850","13","79","41","548","5","0","1","7","0","0","1","8","0"
" Zach"," Ertz","12","2014","3","21","1","64","36","469","4","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","4","55","0","1","1","17","0"
" Andrew"," Quarless","13","2014","1","8","1","37","32","312","2","77.27912621359221","49.5206310679611","564.79854368932","4.46966019417475","5","2","50","0","3","2","35","0"
" Antonio"," Gates","13","2014","8","9","0","104","77","872","4","89","49","538","7","1","2","14","0","3","3","32","0"
" Coby"," Fleener","13","2014","24","25","1","81","52","608","4","36","26","281","2","2","2","28","0","14","7","144","0"
